140328.09375000,-600265.81250000,3610.79492188
140328.12500000,-600265.81250000,3606.77050781
140328.12500000,-600265.81250000,3605.74511719
140328.10937500,-600265.81250000,3609.22656250
140328.29687500,-600264.43750000,3610.61279297
140328.29687500,-600264.43750000,3610.06372070
140328.29687500,-600264.43750000,3610.66528320
140328.37500000,-600263.75000000,3611.73510742
140328.48437500,-600263.06250000,3610.15820313
140328.48437500,-600263.06250000,3611.27954102
140328.50000000,-600263.06250000,3608.79638672
140328.48437500,-600263.06250000,3610.86547852
140328.57812500,-600262.37500000,3610.67236328
140328.57812500,-600262.37500000,3611.59863281
140328.68750000,-600261.68750000,3608.63330078
140328.65625000,-600261.68750000,3613.60717773
140328.79687500,-600261.06250000,3607.43359375
140328.78125000,-600261.00000000,3609.83862305
140328.79687500,-600261.06250000,3606.89135742
140328.78125000,-600261.00000000,3609.82324219
140328.79687500,-600261.00000000,3608.69409180
140328.89062500,-600260.37500000,3608.35473633
140328.87500000,-600260.31250000,3610.88427734
140328.87500000,-600260.31250000,3610.04199219
140328.98437500,-600259.68750000,3608.90991211
140329.00000000,-600259.68750000,3607.28100586
140329.09375000,-600259.00000000,3608.29125977
140329.09375000,-600259.00000000,3606.53027344
140329.06250000,-600259.00000000,3612.78320313
140329.07812500,-600259.00000000,3609.27587891
140329.09375000,-600259.00000000,3608.41406250
140329.18750000,-600258.31250000,3607.53784180
140329.29687500,-600257.62500000,3605.77709961
140329.26562500,-600257.62500000,3609.72998047
140329.28125000,-600257.62500000,3608.25634766
140329.28125000,-600257.62500000,3608.85717773
140329.39062500,-600256.93750000,3605.78808594
140329.39062500,-600256.93750000,3607.70532227
140329.40625000,-600256.93750000,3603.56396484
140329.39062500,-600256.93750000,3607.78466797
140329.46875000,-600256.25000000,3608.40112305
140329.48437500,-600256.25000000,3607.39990234
140329.48437500,-600256.25000000,3607.74438477
140329.48437500,-600256.25000000,3607.55078125
140329.57812500,-600255.56250000,3607.50830078
140329.68750000,-600254.87500000,3606.45385742
140329.68750000,-600254.87500000,3605.82617188
140329.67187500,-600254.87500000,3609.30249023
140329.78125000,-600254.18750000,3605.64550781
140329.87500000,-600253.50000000,3607.49951172
140329.89062500,-600253.56250000,3605.57275391
140329.98437500,-600252.87500000,3605.30639648
140329.96875000,-600252.81250000,3608.01416016
140330.07812500,-600252.18750000,3606.25317383
140330.07812500,-600252.18750000,3606.28076172
140330.07812500,-600252.18750000,3605.50317383
140330.10937500,-600252.18750000,3600.58032227
140330.06250000,-600252.12500000,3609.29003906
140330.18750000,-600251.50000000,3605.33837891
140330.20312500,-600251.50000000,3603.19091797
140330.18750000,-600251.50000000,3604.05541992
140330.18750000,-600251.50000000,3604.72387695
140330.28125000,-600250.81250000,3605.19116211
140330.28125000,-600250.81250000,3604.67407227
140330.37500000,-600250.12500000,3604.64086914
140330.35937500,-600250.12500000,3606.93212891
140330.48437500,-600249.43750000,3603.19653320
140330.45312500,-600249.43750000,3608.24584961
140330.57812500,-600248.75000000,3604.36816406
140330.56250000,-600248.75000000,3606.10424805
140330.57812500,-600248.75000000,3604.69482422
140330.67187500,-600248.06250000,3604.33349609
140330.68750000,-600248.06250000,3602.80590820
140330.78125000,-600247.37500000,3602.16601563
140330.78125000,-600247.37500000,3602.76660156
140330.78125000,-600247.37500000,3604.05932617
140330.85937500,-600246.68750000,3606.02734375
140330.87500000,-600246.68750000,3603.35742188
140330.96875000,-600246.00000000,3604.04125977
140331.10937500,-600245.37500000,3599.09179688
140331.09375000,-600245.37500000,3600.40454102
140331.06250000,-600245.37500000,3605.02416992
140331.07812500,-600245.37500000,3602.38842773
140331.17187500,-600244.68750000,3603.48950195
140331.17187500,-600244.68750000,3602.53222656
140331.26562500,-600244.00000000,3602.70190430
140331.28125000,-600244.00000000,3602.57641602
140331.37500000,-600243.31250000,3602.80444336
140331.46875000,-600242.62500000,3602.23461914
140331.46875000,-600242.62500000,3602.91040039
140331.56250000,-600241.93750000,3602.08422852
140331.56250000,-600241.93750000,3602.77807617
140331.68750000,-600241.25000000,3599.38305664
140331.67187500,-600241.25000000,3602.31103516
140331.65625000,-600241.25000000,3604.36474609
140331.78125000,-600240.56250000,3600.81396484
140331.76562500,-600240.56250000,3602.03881836
140331.78125000,-600240.56250000,3600.40405273
140331.75000000,-600240.56250000,3605.23266602
140331.75000000,-600240.56250000,3604.65356445
140331.85937500,-600239.87500000,3602.60424805
140331.87500000,-600239.87500000,3600.65600586
140331.89062500,-600239.93750000,3597.50170898
140331.98437500,-600239.25000000,3599.82348633
140332.07812500,-600238.56250000,3598.58032227
140332.06250000,-600238.56250000,3600.62109375
140332.17187500,-600237.87500000,3600.58520508
140332.17187500,-600237.87500000,3599.22460938
140332.17187500,-600237.87500000,3599.52026367
140332.26562500,-600237.18750000,3599.69140625
140332.26562500,-600237.18750000,3600.76806641
140332.26562500,-600237.18750000,3600.10888672
140332.28125000,-600237.18750000,3599.00244141
140332.25000000,-600237.18750000,3602.03027344
140332.37500000,-600236.50000000,3599.25073242
140332.46875000,-600235.81250000,3598.61206055
140332.46875000,-600235.81250000,3598.58862305
140332.46875000,-600235.81250000,3599.32617188
140332.43750000,-600235.81250000,3603.25683594
140332.54687500,-600235.12500000,3602.87402344
140332.59375000,-600235.12500000,3594.33471680
140332.57812500,-600235.12500000,3597.76196289
140332.56250000,-600235.12500000,3599.26733398
140332.57812500,-600235.12500000,3598.04321289
140332.67187500,-600234.43750000,3598.51757813
140332.64062500,-600234.43750000,3601.78027344
140332.67187500,-600234.43750000,3597.42749023
