125324.85937500,-681533.31250000,2037.46569824
125324.95312500,-681532.56250000,2068.32739258
125324.95312500,-681532.56250000,2066.59692383
125325.05468750,-681531.87500000,2070.11181641
125325.15625000,-681531.25000000,2068.07177734
125325.15625000,-681531.18750000,2068.54980469
125325.15625000,-681531.18750000,2068.51147461
125325.35156250,-681529.87500000,2069.18774414
125325.35156250,-681529.87500000,2069.10009766
125325.35156250,-681529.87500000,2067.72998047
125325.45312500,-681529.18750000,2068.89355469
125325.45312500,-681529.18750000,2069.15185547
125325.54687500,-681528.50000000,2068.32299805
125325.54687500,-681528.50000000,2069.48046875
125325.54687500,-681528.50000000,2068.96411133
125325.64843750,-681527.81250000,2070.74731445
125325.64843750,-681527.81250000,2068.97241211
125325.64843750,-681527.81250000,2068.55541992
125325.64843750,-681527.81250000,2066.21777344
125325.64843750,-681527.81250000,2067.88330078
125325.74218750,-681527.12500000,2069.53491211
125325.74218750,-681527.12500000,2068.89770508
125325.74218750,-681527.12500000,2068.59252930
125325.74218750,-681527.12500000,2068.20922852
125325.84375000,-681526.43750000,2069.11206055
125325.84375000,-681526.43750000,2067.64794922
125325.84375000,-681526.43750000,2069.47949219
125325.94531250,-681525.75000000,2069.47802734
125325.94531250,-681525.75000000,2068.46337891
125325.94531250,-681525.75000000,2070.19921875
125326.03906250,-681525.12500000,2069.40136719
125326.03906250,-681525.12500000,2068.97778320
125326.14062500,-681524.43750000,2069.03613281
125326.14062500,-681524.43750000,2069.23193359
125326.14062500,-681524.43750000,2069.92993164
125326.24218750,-681523.75000000,2069.44726563
125326.24218750,-681523.75000000,2069.62231445
125326.24218750,-681523.75000000,2068.93212891
125326.33593750,-681523.06250000,2069.19189453
125326.33593750,-681523.06250000,2067.54809570
125326.43750000,-681522.37500000,2069.34326172
125326.43750000,-681522.37500000,2068.65185547
125326.43750000,-681522.37500000,2068.08837891
125326.53906250,-681521.68750000,2069.97363281
125326.53906250,-681521.68750000,2069.51000977
125326.63281250,-681521.00000000,2069.86791992
125326.63281250,-681521.00000000,2069.56909180
125326.73437500,-681520.31250000,2070.22216797
125326.73437500,-681520.31250000,2069.70947266
125326.73437500,-681520.31250000,2068.82080078
125326.83593750,-681519.62500000,2069.75366211
125326.92968750,-681519.00000000,2069.47094727
125326.92968750,-681518.93750000,2072.20703125
125327.03125000,-681518.31250000,2069.36523438
125327.12500000,-681517.62500000,2069.74414063
125327.22656250,-681516.93750000,2069.81738281
125327.22656250,-681516.93750000,2070.42919922
125327.32812500,-681516.25000000,2069.63208008
125327.42187500,-681515.56250000,2070.06054688
125327.42187500,-681515.56250000,2069.77221680
125327.52343750,-681514.87500000,2070.67382813
125327.52343750,-681514.87500000,2070.56420898
125327.52343750,-681514.87500000,2070.09106445
125327.62500000,-681514.18750000,2068.54736328
125327.62500000,-681514.18750000,2070.79028320
125327.62500000,-681514.18750000,2069.90429688
125327.71875000,-681513.50000000,2070.48632813
125327.71875000,-681513.50000000,2069.74707031
125327.71875000,-681513.50000000,2070.70556641
125327.82031250,-681512.87500000,2069.61572266
125327.82031250,-681512.87500000,2070.68847656
125327.92187500,-681512.18750000,2069.18676758
125327.92187500,-681512.18750000,2069.91821289
125328.01562500,-681511.50000000,2069.86083984
125328.01562500,-681511.50000000,2070.44604492
125328.11718750,-681510.81250000,2070.14575195
125328.11718750,-681510.81250000,2069.17919922
125328.11718750,-681510.81250000,2069.99755859
125328.11718750,-681510.81250000,2070.23291016
125328.21875000,-681510.12500000,2070.40747070
125328.21875000,-681510.12500000,2070.03295898
125328.32031250,-681509.43750000,2071.00903320
125328.32031250,-681509.43750000,2069.97998047
125328.41406250,-681508.75000000,2069.02612305
125328.41406250,-681508.75000000,2070.57739258
125328.41406250,-681508.75000000,2070.75488281
125328.51562500,-681508.06250000,2070.61132813
125328.51562500,-681508.06250000,2070.09277344
125328.51562500,-681508.12500000,2050.65527344
125328.61718750,-681507.43750000,2070.23828125
125328.71093750,-681506.75000000,2069.89941406
125328.71093750,-681506.75000000,2070.74194336
125328.71093750,-681506.75000000,2070.21972656
125328.71093750,-681506.75000000,2070.55224609
125328.71093750,-681506.75000000,2069.85595703
125328.81250000,-681506.06250000,2070.09082031
125328.81250000,-681506.06250000,2070.13696289
125328.91406250,-681505.37500000,2071.42553711
125329.00781250,-681504.68750000,2070.37475586
125329.00781250,-681504.68750000,2070.82983398
125329.10937500,-681504.00000000,2070.66381836
125329.10937500,-681504.00000000,2071.33691406
125329.10937500,-681504.00000000,2070.24584961
125329.21093750,-681503.31250000,2070.69799805
125329.21093750,-681503.31250000,2071.05957031
125329.21093750,-681503.31250000,2070.61401367
125329.30468750,-681502.62500000,2071.26977539
125329.30468750,-681502.62500000,2071.38452148
125329.30468750,-681502.62500000,2070.85473633
125329.30468750,-681502.62500000,2070.15112305
125329.40625000,-681501.93750000,2070.76464844
125329.40625000,-681501.93750000,2070.99926758
125329.50781250,-681501.25000000,2071.02490234
125329.60156250,-681500.62500000,2070.35791016
125329.60156250,-681500.62500000,2070.78027344
125329.70312500,-681499.93750000,2070.57495117
125329.70312500,-681499.93750000,2068.94018555
125329.70312500,-681499.93750000,2069.95239258
125329.80468750,-681499.25000000,2071.66699219
125329.80468750,-681499.25000000,2071.10424805
125329.80468750,-681499.25000000,2071.54077148
125329.80468750,-681499.25000000,2071.06884766
125329.80468750,-681499.25000000,2071.31250000
125329.80468750,-681499.25000000,2070.46826172
125329.90625000,-681498.56250000,2071.37158203
125330.00000000,-681497.87500000,2071.36669922
125330.00000000,-681497.87500000,2071.26049805
